ESCUELA ELIECER PEREZ VARGAS,CURACAVÍ,272,,Más Alto,Gratuito ,Munic.
ESCUELA HERIBERTO ERLWEIN  S.,CURACAVÍ,253,,-,Gratuito ,Munic.
ESCUELA BAS. MUNIC. CUYUNCAVI,CURACAVÍ,240,,Similar,Gratuito ,Munic.
ESCUELA ESPECIAL MC-KAY,CURACAVÍ,266,,Más Alto,Gratuito ,P. Subv.
ESCUELA BAS. NTRA. SRA. DE LA GUARDIA,CURACAVÍ,266,,Más Alto,Gratuito ,P. Subv.
ESCUELA BASICA EL CARMELO,CURACAVÍ,226,,-,Gratuito ,P. Subv.
ESCUELA BASICA EL CARMELO,CURACAVÍ,262,,Similar,Gratuito ,P. Subv.
ESC.NUESTRA SENORA DEL CARMEN DE CURACAV,CURACAVÍ,272,,Más Alto,Gratuito ,P. Subv.
COLEGIO FARMLAND SCHOOL,CURACAVÍ,284,,Más Bajo,Más de $100.000 ,P. Pag.
ESCUELA BASICA PARTICULAR CLUB HIPICO,EL BOSQUE,246,,Similar,$1.000 a $10.000 ,P. Subv.
COLEGIO POLITEC. MARIA GRISELDA VALLE S.,EL BOSQUE,279,,Más Alto,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR MIGUEL DE CERVANTES,EL BOSQUE,236,,Más Bajo,$1.000 a $10.000 ,P. Subv.
COMPLEJO EDUC.PARTICULAR DE LAS ACACIAS,EL BOSQUE,255,,Más Alto,$1.000 a $10.000 ,P. Subv.
COLEGIO SANTA BARBARA COLLEGE,EL BOSQUE,248,,Más Bajo,$1.000 a $10.000 ,P. Subv.
COLEGIO PARTICULAR JOSE ABELARDO NUNEZ,EL BOSQUE,252,,Más Bajo,$10.001 a $25.000 ,P. Subv.
COLEGIO TENIENTE DAGOBERTO GODOY,EL BOSQUE,259,,Más Alto,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR HISPANO AMERICANO,EL BOSQUE,261,,Similar,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR CAMPANITA,EL BOSQUE,265,,Más Alto,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR STA.MARIA MAZZARELLO,EL BOSQUE,267,,Más Alto,$10.001 a $25.000 ,P. Subv.
COLEGIO EL ALMENDRO,EL BOSQUE,239,,Más Bajo,$10.001 a $25.000 ,P. Subv.
COLEGIO VILLA SANTA MARIA,EL BOSQUE,231,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR JOSE MIGUEL CARRERA,EL BOSQUE,243,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR MARVIT SCHOOL,EL BOSQUE,249,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR MARIA MEDIANERA,EL BOSQUE,246,,Más Bajo,$10.001 a $25.000 ,P. Subv.
COLEGIO JUAN BAUTISTA DURAN,EL BOSQUE,248,,Más Bajo,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR EL BOSQUE,EL BOSQUE,259,,Más Bajo,$10.001 a $25.000 ,P. Subv.
CENTRO EDUC. DENVER COLORADO SCHOOL,EL BOSQUE,232,,Más Bajo,$10.001 a $25.000 ,P. Subv.
COLEGIO CRISTIANO BETHEL II,EL BOSQUE,244,,Más Alto,$10.001 a $25.000 ,P. Subv.
ESCUELA BAS. NUESTRA SENORA MARIA INMACULADA,EL BOSQUE,264,,Más Alto,$10.001 a $25.000 ,P. Subv.
ESCUELA BASICA PARTICULAR BREMEN,EL BOSQUE,259,,Similar,$10.001 a $25.000 ,P. Subv.
ESC. BAS. NUEVA ESPERANZA DE EL BOSQUE,EL BOSQUE,235,,Más Bajo,$10.001 a $25.000 ,P. Subv.
