agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,numero_alumnos
2013,1292,COLEGIO ALONSO DE ERCILLA,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.74764597,-70.72516343,334
2013,1294,COLEGIO PARTICULAR PUMANQUE,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.75321041,-70.72518534,622
2013,1300,ESCUELA AGRICOLA DE SAN FELIPE,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Administracion Delegada,Urbano,Funcionando,-32.75506734,-70.70748192,276
2013,1301,LICEO MANUEL MARIN,PUTAENDO,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.62717273,-70.71499261,435
2013,1302,LICEO   REPUBLICA DE ESTADOS UNIDOS,PUTAENDO,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.66222401,-70.71743182,223
2013,1304,ESCUELA PASO HISTORICO EL TARTARO,PUTAENDO,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.57196363,-70.70189378,101
2013,1305,ESCUELA RENACER,PUTAENDO,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.67437736,-70.75038081,143
2013,1307,ESCUELA SAN ALBERTO,PUTAENDO,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.58267844,-70.73356497,145
2013,1308,ESCUELA ALEJANDRINA CARVAJAL ASPEE,PUTAENDO,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.53692453,-70.64144607,21
2013,1309,ESCUELA EDUARDO BECERRA BASCUNAN,PUTAENDO,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.52648705,-70.63952084,55
2013,1310,ESCUELA MARIA LEIVA DE IBANEZ,PUTAENDO,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.69620235,-70.73292998,68
2013,1311,ESCUELA EL AVE MARIA,LA CALERA,Quillota - Petorca,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.78776271,-71.19212572,332
2013,1312,ESC. BAS. GASTON ORMAZABAL CABRERA,PUTAENDO,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.62546404,-70.73693675,58
